customer_id,first_name,last_name,email,phone,pan,date_of_birth,city,state,annual_income,occupation,kyc_status,customer_segment,credit_score,is_hni,is_delinquent,customer_onboard_date
CUST_00001,Ravi,Mishra,ravi.mishra_1@email.com,+918297950359,QCCDB0247A,1998-11-03,Surat,Surat,777973,HR Manager,Verified,retail,699,False,False,2023-12-07
CUST_00002,Sneha,Menon,sneha.menon_2@email.com,+919343748592,BTAPZ0506Y,2007-05-09,Surat,Surat,279123,Software Engineer,Verified,retail,668,False,False,2021-04-21
CUST_00003,Rajesh,Mehta,rajesh.mehta_3@email.com,+916046314343,GMTPI6332L,2002-11-24,Surat,Surat,167694,Financial Analyst,Verified,retail,704,False,False,2021-11-09
CUST_00004,Priyanka,Reddy,priyanka.reddy_4@email.com,+918013776199,RJBJI1467E,1970-12-18,Hyderabad,Hyderabad,120904,Sales Executive,Verified,retail,741,False,False,2025-08-19
CUST_00005,Sanjay,Kumar,sanjay.kumar_5@email.com,+917950064497,ADNYT2468Q,1981-07-25,Mumbai,Mumbai,270904,Marketing Manager,Verified,retail,683,False,False,2023-11-06
CUST_00006,Kavya,Jain,kavya.jain_6@email.com,+918201871277,KEZYV0308K,1967-08-25,Mumbai,Mumbai,287488,Data Analyst,Verified,retail,667,False,False,2023-08-25
CUST_00007,Kavya,Singh,kavya.singh_7@email.com,+919891476956,RGMTU3994V,1980-05-12,Delhi,Delhi,193426,Consultant,Verified,retail,727,False,False,2022-10-09
CUST_00008,Vikram,Jain,vikram.jain_8@email.com,+918015337791,WXTHF1558Q,1988-09-29,Indore,Indore,213299,Consultant,Verified,retail,779,False,True,2021-10-04
CUST_00009,Priyanka,Kumar,priyanka.kumar_9@email.com,+918465162177,AMCVZ9489P,1979-11-18,Bangalore,Bangalore,860307,Entrepreneur,Verified,premium,792,True,False,2021-08-23
CUST_00010,Sneha,Mehta,sneha.mehta_10@email.com,+919151709494,RGFTR0471K,1972-06-23,Kochi,Kochi,109072,Business Owner,Verified,retail,773,False,False,2025-02-15
CUST_00011,Deepa,Bhat,deepa.bhat_11@email.com,+917423841741,XTFGM8115X,1968-12-17,Kochi,Kochi,68451,Business Owner,Verified,retail,736,False,False,2022-10-11
CUST_00012,Priyanka,Iyer,priyanka.iyer_12@email.com,+917808250421,MUIFO9039X,1981-09-08,Pune,Pune,122642,Project Manager,Verified,retail,669,False,False,2023-09-16
CUST_00013,Varun,Sinha,varun.sinha_13@email.com,+917515756391,TJQOW8210C,1994-03-30,Chandigarh,Chandigarh,727639,HR Manager,Verified,retail,765,False,False,2021-10-28
CUST_00014,Shreya,Sinha,shreya.sinha_14@email.com,+919428342624,IPEYO1337J,1990-03-08,Indore,Indore,151401,Project Manager,Verified,retail,718,False,False,2025-08-10
CUST_00015,Amit,Saxena,amit.saxena_15@email.com,+917265374436,BNWZI3675T,1970-03-29,Hyderabad,Hyderabad,74507,Entrepreneur,Verified,retail,710,False,False,2023-03-27
CUST_00016,Aditya,Agarwal,aditya.agarwal_16@email.com,+917242140808,PCAWI8226E,1991-03-09,Indore,Indore,156802,Marketing Manager,Verified,retail,666,False,False,2024-06-28
CUST_00017,Divya,Menon,divya.menon_17@email.com,+916719442108,PDRUS5391W,1972-03-31,Surat,Surat,221273,Sales Executive,Verified,retail,697,False,False,2022-11-27
CUST_00018,Priya,Gupta,priya.gupta_18@email.com,+916151725037,OQFHZ0817X,1972-10-28,Lucknow,Lucknow,250711,Engineer,Verified,retail,755,False,False,2024-01-15
CUST_00019,Rajesh,Mehta,rajesh.mehta_19@email.com,+918985221988,YFTYU8728F,1971-10-16,Pune,Pune,150980,Software Engineer,Verified,retail,682,False,False,2021-05-15
CUST_00020,Amit,Iyer,amit.iyer_20@email.com,+919963672922,ZOIRZ7352W,2001-01-27,Kochi,Kochi,779581,Marketing Manager,Verified,retail,670,False,False,2024-11-06
CUST_00021,Rahul,Singh,rahul.singh_21@email.com,+918566829299,XSOCI7809J,2003-03-05,Noida,Noida,104562,Consultant,Verified,retail,764,False,False,2022-09-21
CUST_00022,Kavya,Menon,kavya.menon_22@email.com,+919218757065,LEDSH1277A,1986-08-07,Jaipur,Jaipur,156895,Software Engineer,Verified,retail,713,False,False,2023-01-15
CUST_00023,Nikhil,Yadav,nikhil.yadav_23@email.com,+917305974315,JWCUW3961B,1994-10-23,Hyderabad,Hyderabad,73932,Marketing Manager,Verified,retail,676,False,False,2023-10-17
CUST_00024,Neha,Dixit,neha.dixit_24@email.com,+919122319712,CZEBZ6596M,1968-09-04,Hyderabad,Hyderabad,147119,Consultant,Verified,retail,726,False,False,2023-04-26
CUST_00025,Rajesh,Gupta,rajesh.gupta_25@email.com,+919371641901,GDKHP1779V,1991-03-27,Pune,Pune,382013,Marketing Manager,Verified,retail,743,False,False,2021-08-02
CUST_00026,Shreya,Menon,shreya.menon_26@email.com,+918421100023,RUWQH6310P,1978-08-26,Ahmedabad,Ahmedabad,118273,Financial Analyst,Verified,retail,765,False,False,2023-11-04
CUST_00027,Rahul,Ghosh,rahul.ghosh_27@email.com,+917118594780,QXFPZ4605M,1990-05-08,Pune,Pune,269313,Software Engineer,Verified,retail,696,False,False,2024-01-11
CUST_00028,Arun,Reddy,arun.reddy_28@email.com,+916263787271,MQLOC0971W,1993-10-25,Mumbai,Mumbai,634604,HR Manager,Verified,retail,759,False,False,2024-04-19
CUST_00029,Ravi,Yadav,ravi.yadav_29@email.com,+918702823150,AONVM5577D,1982-12-24,Chandigarh,Chandigarh,156699,Software Engineer,Verified,retail,744,False,False,2025-02-09
CUST_00030,Arun,Ghosh,arun.ghosh_30@email.com,+918032209020,TFRDW6043B,1981-10-22,Pune,Pune,152898,Consultant,Verified,retail,727,False,False,2025-01-03
CUST_00031,Shreya,Kumar,shreya.kumar_31@email.com,+918483097086,DFEOW0953R,1967-01-23,Lucknow,Lucknow,360315,Sales Executive,Verified,retail,697,False,False,2022-01-12
CUST_00032,Divya,Malhotra,divya.malhotra_32@email.com,+916726189798,EZRGB9925E,1976-11-03,Mumbai,Mumbai,195444,Engineer,Verified,retail,732,False,True,2022-11-11
CUST_00033,Kavya,Saxena,kavya.saxena_33@email.com,+918460414950,PSNZJ5208H,1983-06-02,Lucknow,Lucknow,65814,Sales Executive,Verified,retail,781,False,False,2024-07-20
CUST_00034,Rohan,Joshi,rohan.joshi_34@email.com,+916221705700,ADWFD5527N,1983-11-21,Chennai,Chennai,177300,Engineer,Verified,retail,758,False,False,2021-02-18
