customer_id,first_name,last_name,email,phone,pan,date_of_birth,city,state,annual_income,occupation,kyc_status,customer_segment,credit_score,is_hni,is_delinquent,customer_onboard_date
CUST_05001,Divya,Mehta,divya.mehta_5001@b2email.com,+916235644008,QZOTQ8466U,2003-10-30,Mumbai,Mumbai,73162,Sales Executive,Verified,retail,677,False,False,2022-02-02
CUST_05002,Sunita,Verma,sunita.verma_5002@b2email.com,+919575678227,JUWRH0403R,1968-03-20,Mumbai,Mumbai,291714,Software Engineer,Verified,retail,700,False,False,2023-10-28
CUST_05003,Rajesh,Singh,rajesh.singh_5003@b2email.com,+916461506989,QRKRW8132S,2003-07-20,Jaipur,Jaipur,433375,Software Engineer,Verified,retail,662,False,False,2023-04-30
CUST_05004,Pooja,Kapoor,pooja.kapoor_5004@b2email.com,+918768808870,TULRR0748S,1974-01-31,Ahmedabad,Ahmedabad,99196,Sales Executive,Verified,retail,783,False,False,2023-09-20
CUST_05005,Meera,Nair,meera.nair_5005@b2email.com,+916376022577,HZETQ4329I,1996-08-26,Chennai,Chennai,133127,Data Analyst,Verified,retail,686,False,False,2024-05-15
CUST_05006,Rahul,Mehta,rahul.mehta_5006@b2email.com,+917218894279,SLTTP0927A,1973-01-04,Mumbai,Mumbai,85268,Entrepreneur,Verified,retail,701,False,False,2023-02-03
CUST_05007,Sanjay,Jain,sanjay.jain_5007@b2email.com,+918973831444,OKLCT7684N,2001-01-15,Chennai,Chennai,223866,Software Engineer,Verified,retail,776,False,False,2021-03-05
CUST_05008,Aditya,Malhotra,aditya.malhotra_5008@b2email.com,+919717190153,LJJMY9870K,1979-08-05,Pune,Pune,163806,Business Owner,Verified,retail,769,False,False,2022-09-14
CUST_05009,Divya,Sinha,divya.sinha_5009@b2email.com,+916000487654,UCNND9533M,1985-09-18,Kolkata,Kolkata,146930,CA,Verified,retail,704,False,False,2021-02-21
CUST_05010,Anjali,Malhotra,anjali.malhotra_5010@b2email.com,+917324119206,ABDBN6628O,2002-01-14,Hyderabad,Hyderabad,267534,Engineer,Verified,retail,680,False,False,2022-11-24
CUST_05011,Meera,Sen,meera.sen_5011@b2email.com,+919394041043,JOWHX0447G,1985-02-12,Hyderabad,Hyderabad,273756,Business Owner,Verified,retail,725,False,False,2021-01-02
CUST_05012,Sneha,Jain,sneha.jain_5012@b2email.com,+917366820714,RHFAG1488T,2001-07-15,Bangalore,Bangalore,209702,Banker,Verified,retail,691,False,False,2022-07-22
